Timestamp,Reference X,Reference Y,Reference Z,Reference Yaw,Current X,Current Y,Current Z,Current Yaw,Input X,Input Y,Input Z,Input Yaw
0.0,0.0,0.0,1.0,0.0,0.021,-0.02,1.003,-0.0,1,-1,-1,-1
0.04,0.0,0.01,1.0,0.0,0.021,-0.02,1.002,-0.001,-1,11,1,-1
0.08,0.0,0.016,1.0,0.0,0.022,-0.02,1.001,0.006,1,11,-1,1
0.12,0.001,0.024,1.001,0.0,0.021,-0.02,1.001,-0.002,-1,11,1,1
0.16,0.001,0.03,1.001,0.0,0.021,-0.019,1.001,-0.002,1,10,1,1
0.2,0.002,0.036,1.002,0.0,0.022,-0.019,1.0,-0.003,-1,10,1,1
0.24000000000000002,0.003,0.042,1.003,0.0,0.022,-0.018,1.0,-0.003,1,9,3,1
0.28,0.004,0.05,1.004,0.0,0.022,-0.018,1.0,-0.003,1,8,-1,1
0.32,0.005,0.056,1.005,0.0,0.023,-0.016,1.0,-0.003,1,8,1,1
0.36,0.006,0.062,1.006,0.0,0.023,-0.014,1.001,-0.002,1,8,1,1
0.39999999999999997,0.007,0.068,1.007,0.0,0.024,-0.012,1.001,-0.002,1,8,1,1
0.43999999999999995,0.008,0.073,1.008,0.0,0.024,-0.009,1.001,-0.002,1,7,1,2
0.4799999999999999,0.01,0.081,1.01,0.0,0.025,-0.005,1.001,-0.005,1,7,-4,3
0.5199999999999999,0.012,0.087,1.012,0.0,0.026,-0.001,1.002,-0.001,2,5,3,2
0.5599999999999999,0.014,0.095,1.014,0.0,0.027,0.003,1.003,-0.001,1,5,-6,3
0.6,0.016,0.1,1.016,0.0,0.028,0.008,1.004,-0.003,2,4,6,3
0.64,0.018,0.106,1.018,0.0,0.029,0.013,1.005,0.001,2,5,-1,3
0.68,0.02,0.112,1.02,0.0,0.03,0.019,1.006,-0.003,1,3,2,3
0.7200000000000001,0.022,0.117,1.022,0.0,0.031,0.024,1.008,0.008,1,5,-5,4
0.7600000000000001,0.025,0.125,1.025,0.0,0.032,0.029,1.009,0.0,2,3,1,3
0.8000000000000002,0.027,0.13,1.027,0.0,0.034,0.036,1.012,0.008,3,4,1,3
0.8400000000000002,0.029,0.136,1.029,0.0,0.035,0.042,1.014,0.001,2,3,1,3
0.8800000000000002,0.032,0.141,1.032,0.0,0.036,0.047,1.016,-0.002,3,4,1,3
0.9200000000000003,0.036,0.148,1.036,0.0,0.037,0.054,1.018,0.001,2,3,2,4
0.9600000000000003,0.038,0.154,1.038,0.0,0.039,0.061,1.02,-0.002,3,3,-5,4
1.0000000000000002,0.042,0.161,1.042,0.0,0.041,0.067,1.022,0.008,2,2,4,5
1.0400000000000003,0.045,0.166,1.045,0.0,0.042,0.073,1.025,0.004,3,3,-5,5
1.0800000000000003,0.049,0.173,1.049,0.0,0.044,0.079,1.027,0.003,3,3,1,5
1.1200000000000003,0.053,0.18,1.053,0.0,0.045,0.085,1.03,0.004,3,3,-1,6
1.1600000000000004,0.057,0.185,1.057,0.0,0.048,0.092,1.032,0.001,4,3,-7,5
1.2000000000000004,0.061,0.191,1.061,0.0,0.05,0.098,1.035,0.002,4,2,5,5
1.2400000000000004,0.065,0.196,1.065,0.0,0.052,0.104,1.038,0.009,4,2,-3,5
1.2800000000000005,0.068,0.201,1.068,0.0,0.054,0.111,1.042,0.004,3,2,-1,5
1.3200000000000005,0.072,0.206,1.072,0.0,0.057,0.117,1.046,0.003,4,2,-1,5
1.3600000000000005,0.076,0.21,1.076,0.0,0.059,0.123,1.049,-0.0,3,1,-1,6
1.4000000000000006,0.081,0.216,1.081,0.0,0.063,0.131,1.052,-0.003,3,1,-1,7
1.4400000000000006,0.085,0.221,1.085,0.0,0.065,0.138,1.056,0.002,4,-1,1,6
1.4800000000000006,0.089,0.225,1.089,0.0,0.068,0.145,1.059,0.003,4,1,1,7
1.5200000000000007,0.094,0.231,1.094,0.0,0.071,0.151,1.062,0.002,4,1,-1,8
1.5600000000000007,0.097,0.234,1.097,0.0,0.074,0.158,1.066,0.002,4,-1,1,7
1.6000000000000008,0.102,0.238,1.102,0.0,0.078,0.165,1.069,-0.001,4,1,-1,8
1.6400000000000008,0.109,0.245,1.109,0.0,0.083,0.175,1.075,0.001,4,1,-1,8
1.6800000000000008,0.115,0.25,1.115,0.0,0.087,0.184,1.08,0.001,3,-1,-2,8
1.7200000000000009,0.121,0.256,1.121,0.0,0.091,0.19,1.083,0.006,4,-1,-2,9
1.760000000000001,0.124,0.258,1.124,0.0,0.095,0.197,1.087,0.001,3,1,-2,10
1.800000000000001,0.13,0.263,1.13,0.0,0.1,0.205,1.092,0.0,4,-2,3,9
1.840000000000001,0.135,0.267,1.135,0.0,0.105,0.212,1.096,0.005,4,-1,-1,10
1.880000000000001,0.141,0.272,1.141,0.0,0.109,0.219,1.1,0.003,4,-1,-1,10
1.920000000000001,0.146,0.275,1.146,0.0,0.113,0.225,1.104,0.001,4,-1,-1,11
1.960000000000001,0.153,0.279,1.153,0.0,0.118,0.232,1.108,0.001,3,-1,1,11
2.000000000000001,0.161,0.285,1.161,0.0,0.125,0.241,1.115,0.002,3,-2,-3,11
2.040000000000001,0.166,0.288,1.166,0.0,0.129,0.246,1.119,0.003,3,-1,-1,11
2.080000000000001,0.173,0.292,1.173,0.0,0.137,0.255,1.126,0.004,3,-1,-5,13
2.120000000000001,0.179,0.295,1.179,0.0,0.142,0.261,1.131,0.003,3,-1,-1,12
2.160000000000001,0.186,0.299,1.186,0.0,0.148,0.266,1.135,0.004,3,-1,2,12
2.200000000000001,0.191,0.302,1.191,0.0,0.155,0.273,1.141,0.005,3,-1,-5,13
2.240000000000001,0.196,0.304,1.196,0.0,0.161,0.278,1.146,0.004,3,-2,3,12
2.280000000000001,0.204,0.308,1.204,0.0,0.166,0.284,1.151,0.005,3,-3,-1,14
2.320000000000001,0.211,0.311,1.211,0.0,0.173,0.289,1.156,0.009,2,-2,-6,14
2.360000000000001,0.216,0.313,1.216,0.0,0.18,0.295,1.163,0.004,2,-2,-4,14
2.4000000000000012,0.224,0.316,1.224,0.0,0.186,0.3,1.169,0.003,4,-1,-1,12
2.4400000000000013,0.23,0.318,1.23,0.0,0.193,0.305,1.175,0.004,1,-3,-1,12
2.4800000000000013,0.237,0.321,1.237,0.0,0.203,0.312,1.183,0.008,2,-2,-1,13
2.5200000000000014,0.245,0.323,1.245,0.0,0.209,0.317,1.19,0.003,3,-2,-1,13
2.5600000000000014,0.252,0.325,1.252,0.0,0.218,0.322,1.197,0.003,1,-3,-1,13
2.6000000000000014,0.258,0.327,1.258,0.0,0.224,0.327,1.203,0.003,2,-3,-1,14
2.6400000000000015,0.264,0.328,1.264,0.0,0.231,0.331,1.21,0.002,2,-3,4,11
2.6800000000000015,0.27,0.33,1.27,0.0,0.238,0.336,1.216,0.003,2,-4,5,11
2.7200000000000015,0.276,0.331,1.276,0.0,0.249,0.342,1.225,0.004,2,-3,-2,12
2.7600000000000016,0.284,0.333,1.284,0.0,0.258,0.347,1.233,0.004,1,-4,-1,11
2.8000000000000016,0.289,0.334,1.289,0.0,0.265,0.351,1.239,0.005,2,-3,1,11
2.8400000000000016,0.293,0.334,1.293,0.0,0.272,0.354,1.245,0.004,2,-3,-3,11
2.8800000000000017,0.299,0.335,1.299,0.0,0.281,0.359,1.252,0.005,2,-3,-4,11
2.9200000000000017,0.303,0.336,1.303,0.0,0.288,0.362,1.258,0.01,2,-3,-4,11
2.9600000000000017,0.311,0.336,1.311,0.0,0.297,0.366,1.265,0.006,1,-5,-1,9
3.0000000000000018,0.319,0.337,1.319,0.0,0.304,0.369,1.271,0.006,1,-5,-1,10
3.040000000000002,0.325,0.337,1.325,0.0,0.313,0.372,1.277,0.013,3,-4,-2,12
3.080000000000002,0.329,0.337,1.329,0.0,0.32,0.376,1.283,0.006,2,-5,-1,11
3.120000000000002,0.337,0.337,1.337,0.0,0.327,0.378,1.288,0.013,1,-5,-1,12
3.160000000000002,0.343,0.337,1.343,0.0,0.334,0.381,1.294,0.008,1,-5,-2,10
3.200000000000002,0.349,0.337,1.349,0.0,0.343,0.384,1.301,0.008,2,-4,-1,12
3.240000000000002,0.359,0.337,1.359,0.0,0.354,0.388,1.309,0.009,1,-5,-1,11
3.280000000000002,0.365,0.336,1.365,0.0,0.361,0.39,1.314,0.009,1,-4,-2,12
3.320000000000002,0.371,0.336,1.371,0.0,0.368,0.391,1.32,0.009,1,-4,-2,12
3.360000000000002,0.379,0.335,1.379,0.0,0.376,0.393,1.326,0.009,2,-4,-2,13
3.400000000000002,0.383,0.335,1.383,0.0,0.386,0.395,1.334,0.01,1,-5,-2,12
3.440000000000002,0.389,0.334,1.389,0.0,0.394,0.396,1.34,0.009,1,-4,-3,11
3.480000000000002,0.397,0.332,1.397,0.0,0.403,0.397,1.348,0.009,1,-5,1,11
3.5200000000000022,0.401,0.332,1.401,0.0,0.408,0.398,1.352,0.009,1,-4,-2,11
3.5600000000000023,0.407,0.33,1.407,0.0,0.417,0.398,1.359,0.008,2,-4,-2,12
3.6000000000000023,0.415,0.329,1.415,0.0,0.428,0.399,1.367,0.008,1,-5,-1,11
3.6400000000000023,0.42,0.327,1.42,0.0,0.435,0.399,1.372,0.007,1,-4,-2,11
3.6800000000000024,0.426,0.325,1.426,0.0,0.442,0.399,1.377,0.009,1,-5,-1,12
3.7200000000000024,0.432,0.324,1.432,0.0,0.449,0.399,1.383,0.008,1,-5,-3,11
3.7600000000000025,0.436,0.323,1.436,0.0,0.457,0.399,1.389,0.007,2,-5,-1,12
3.8000000000000025,0.443,0.32,1.443,0.0,0.464,0.398,1.395,0.008,2,-6,-1,12
3.8400000000000025,0.451,0.317,1.451,0.0,0.472,0.398,1.402,0.008,1,-5,-2,12
3.8800000000000026,0.456,0.315,1.456,0.0,0.479,0.397,1.408,0.009,1,-6,-1,11
3.9200000000000026,0.46,0.314,1.46,0.0,0.486,0.397,1.413,0.009,-1,-5,-1,10
3.9600000000000026,0.466,0.311,1.466,0.0,0.494,0.396,1.42,0.008,1,-5,-2,11
4.000000000000003,0.471,0.309,1.471,0.0,0.501,0.395,1.425,0.009,1,-5,-4,10
4.040000000000003,0.48,0.304,1.48,0.0,0.509,0.393,1.431,0.01,-1,-5,-1,12
4.080000000000003,0.487,0.301,1.487,0.0,0.518,0.391,1.437,0.009,1,-5,-2,13
4.120000000000003,0.494,0.297,1.494,0.0,0.524,0.389,1.442,0.007,-1,-4,-2,12
4.160000000000003,0.501,0.293,1.501,0.0,0.533,0.387,1.449,0.008,-1,-4,-2,13
4.200000000000003,0.508,0.289,1.508,0.0,0.541,0.384,1.456,0.008,-1,-4,-2,11
4.240000000000003,0.515,0.285,1.515,0.0,0.55,0.381,1.464,0.008,-1,-4,-2,11
4.280000000000003,0.52,0.282,1.52,0.0,0.557,0.379,1.469,0.009,-1,-5,-2,13
4.320000000000003,0.527,0.277,1.527,0.0,0.565,0.376,1.476,0.007,-1,-5,-1,12
4.360000000000003,0.532,0.274,1.532,0.0,0.573,0.372,1.484,0.008,-1,-4,-1,11
4.400000000000003,0.535,0.271,1.535,0.0,0.58,0.369,1.49,0.007,-1,-4,-3,11
4.440000000000003,0.538,0.269,1.538,0.0,0.585,0.367,1.494,0.007,-1,-5,-3,10
4.480000000000003,0.546,0.263,1.546,0.0,0.594,0.362,1.502,0.008,-2,-3,-1,8
4.520000000000003,0.549,0.26,1.549,0.0,0.6,0.358,1.507,0.005,-1,-3,-1,9
4.560000000000003,0.555,0.255,1.555,0.0,0.61,0.353,1.514,0.007,-1,-4,-1,9
4.600000000000003,0.558,0.252,1.558,0.0,0.616,0.349,1.519,0.006,-1,-4,1,9
