Timestamp,Parrot X,Parrot Y,Parrot Z,Anafi X,Anafi Y,Anafi Z,Relative Pos Real X,Relative Pos Real Y,Relative Pos Real Z,Relative Pos Yolo X,Relative Pos Yolo Y,Relative Pos Yolo Z,Input X,Input Y,Input Z
0.0,1.94,-0.461,1.035,-1.419,-0.329,0.963,3.358,-0.132,0.072,3.49,-0.259,0.24,0,0,0
0.04,1.938,-0.457,1.035,-1.418,-0.327,0.964,3.357,-0.131,0.071,3.464,-0.238,0.22,15,-11,7
0.08,1.932,-0.44,1.035,-1.415,-0.323,0.973,3.347,-0.116,0.061,3.576,-0.231,0.212,16,-10,7
0.12,1.93,-0.433,1.034,-1.413,-0.321,0.979,3.343,-0.112,0.056,3.576,-0.231,0.212,16,-10,6
0.16,1.927,-0.425,1.033,-1.41,-0.318,0.988,3.337,-0.108,0.045,3.588,-0.22,0.195,16,-11,6
0.2,1.924,-0.419,1.032,-1.406,-0.317,1.0,3.33,-0.102,0.033,3.522,-0.205,0.179,16,-10,5
0.24000000000000002,1.92,-0.411,1.031,-1.398,-0.319,1.016,3.317,-0.092,0.015,3.458,-0.191,0.168,14,-8,4
0.28,1.917,-0.406,1.031,-1.391,-0.32,1.025,3.308,-0.086,0.006,3.458,-0.191,0.168,10,-7,4
0.32,1.912,-0.395,1.03,-1.375,-0.324,1.041,3.287,-0.071,-0.01,3.393,-0.165,0.144,8,-6,4
0.36,1.907,-0.384,1.031,-1.358,-0.33,1.052,3.266,-0.053,-0.021,3.393,-0.165,0.144,5,-3,3
0.39999999999999997,1.902,-0.37,1.031,-1.341,-0.337,1.061,3.244,-0.033,-0.03,3.352,-0.154,0.124,1,-1,2
0.43999999999999995,1.9,-0.362,1.032,-1.332,-0.341,1.066,3.232,-0.022,-0.034,3.351,-0.148,0.117,1,-1,2
0.4799999999999999,1.892,-0.336,1.033,-1.305,-0.351,1.076,3.197,0.016,-0.043,3.262,-0.112,0.092,-3,2,1
0.5199999999999999,1.885,-0.31,1.034,-1.283,-0.361,1.083,3.168,0.05,-0.048,3.199,-0.099,0.084,-7,3,1
0.5599999999999999,1.875,-0.274,1.036,-1.261,-0.37,1.088,3.135,0.096,-0.052,3.209,-0.062,0.071,-8,5,1
0.6,1.868,-0.25,1.036,-1.241,-0.38,1.093,3.109,0.13,-0.057,3.185,0.001,0.053,-8,4,1
0.64,1.862,-0.225,1.037,-1.226,-0.387,1.096,3.087,0.162,-0.059,3.16,0.022,0.048,-11,8,1
0.68,1.847,-0.17,1.038,-1.195,-0.4,1.102,3.042,0.23,-0.064,3.143,0.042,0.044,-10,8,1
0.7200000000000001,1.84,-0.143,1.038,-1.181,-0.406,1.105,3.021,0.263,-0.067,3.023,0.067,0.039,-12,8,1
0.7600000000000001,1.827,-0.096,1.038,-1.16,-0.414,1.108,2.987,0.319,-0.07,3.025,0.105,0.032,-12,8,1
0.8000000000000002,1.822,-0.076,1.037,-1.147,-0.419,1.11,2.969,0.343,-0.072,2.967,0.126,0.03,-12,8,1
0.8400000000000002,1.814,-0.046,1.037,-1.135,-0.424,1.113,2.948,0.378,-0.076,3.063,0.157,0.031,-13,9,0
0.8800000000000002,1.804,-0.011,1.037,-1.114,-0.43,1.116,2.918,0.42,-0.079,2.989,0.196,0.027,-12,10,0
