epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7011,2.35042,5.44516,1.35678,0.00306,0.91667,0.00865,0.00261,2.0986,4.13802,1.1675,0.00028,0.00028,0.00028
2,4.07704,1.71492,2.63238,1.12646,0.00272,0.81667,0.008,0.00262,1.82941,4.09599,1.13132,0.000568516,0.000568516,0.000568516
3,5.41642,1.64645,2.18302,1.08414,0.00167,0.5,0.00147,0.00069,1.5064,4.14691,1.07995,0.000845152,0.000845152,0.000845152
4,6.73071,1.56802,1.87379,1.06118,0.00206,0.61667,0.00261,0.00128,1.65873,3.90881,1.16402,0.00110991,0.00110991,0.00110991
5,8.06153,1.51285,1.74035,1.01794,0.00333,1,0.84126,0.47598,1.5486,2.78607,1.11287,0.00136278,0.00136278,0.00136278
6,9.40078,1.49185,1.65811,1.02597,1,0.42101,0.93153,0.56047,1.39022,2.33028,1.06675,0.00160378,0.00160378,0.00160378
7,10.7322,1.48956,1.47109,1.02755,0.9502,0.96667,0.96397,0.58003,1.38676,1.31708,1.0875,0.0017624,0.0017624,0.0017624
8,12.0696,1.55775,1.43497,1.0489,0.94241,0.91667,0.9296,0.44882,1.64128,1.42869,1.15588,0.0017228,0.0017228,0.0017228
9,13.3973,1.59818,1.36852,1.02225,0.98234,0.92689,0.96062,0.40639,1.91572,1.33629,1.19052,0.0016832,0.0016832,0.0016832
10,14.7123,1.5979,1.34089,1.03054,1,0.75084,0.9017,0.46946,1.5703,1.47088,1.10955,0.0016436,0.0016436,0.0016436
11,16.0413,1.4596,1.1994,1.00472,0.96675,0.96667,0.99194,0.52099,1.56112,0.94838,1.11785,0.001604,0.001604,0.001604
12,17.3697,1.38957,1.12936,1.00118,0.99422,0.96667,0.98476,0.47352,1.69585,0.97295,1.19201,0.0015644,0.0015644,0.0015644
13,18.6919,1.33571,0.99875,0.98916,1,0.98034,0.99322,0.57507,1.4696,0.77695,1.10425,0.0015248,0.0015248,0.0015248
14,20.0154,1.40155,0.97992,0.97963,0.98323,0.97732,0.99244,0.4161,1.90476,0.88017,1.2155,0.0014852,0.0014852,0.0014852
15,21.3485,1.3881,0.95775,0.99752,1,0.98135,0.99232,0.4956,1.57662,0.80213,1.09615,0.0014456,0.0014456,0.0014456
16,22.6721,1.30099,0.91316,0.99299,1,0.99651,0.995,0.62032,1.40266,0.72968,1.07262,0.001406,0.001406,0.001406
17,23.9976,1.26285,0.85417,0.95975,0.99578,1,0.995,0.55094,1.4439,0.74834,1.10534,0.0013664,0.0013664,0.0013664
18,25.3519,1.30406,0.87726,0.97878,0.99694,1,0.995,0.57325,1.38549,0.71058,1.09343,0.0013268,0.0013268,0.0013268
19,26.6774,1.29356,0.8253,0.98794,0.99815,1,0.995,0.52919,1.54589,0.69939,1.14138,0.0012872,0.0012872,0.0012872
20,28.01,1.25689,0.82112,0.9614,0.99835,1,0.995,0.57058,1.36358,0.63089,1.04546,0.0012476,0.0012476,0.0012476
21,29.3314,1.29214,0.78348,0.98875,0.99833,1,0.995,0.61878,1.23936,0.63532,1.01952,0.001208,0.001208,0.001208
22,30.6657,1.35114,0.82101,0.99138,0.99877,1,0.995,0.49129,1.63792,0.68246,1.13114,0.0011684,0.0011684,0.0011684
23,32.0036,1.28331,0.77769,0.96751,0.99869,1,0.995,0.66332,1.24054,0.54728,1.01463,0.0011288,0.0011288,0.0011288
24,33.3187,1.26411,0.75495,0.98103,0.99848,1,0.995,0.62928,1.31344,0.57577,1.04142,0.0010892,0.0010892,0.0010892
25,34.6396,1.16865,0.70544,0.9541,1,0.99802,0.995,0.54632,1.56689,0.63278,1.11096,0.0010496,0.0010496,0.0010496
26,35.9732,1.22398,0.73397,0.94803,0.99791,1,0.995,0.5923,1.39869,0.60043,1.05855,0.00101,0.00101,0.00101
27,37.3266,1.16425,0.69418,0.95753,0.99784,1,0.995,0.63849,1.3057,0.56551,1.02762,0.0009704,0.0009704,0.0009704
28,38.6778,1.22288,0.70654,0.95089,0.99792,1,0.995,0.55605,1.5037,0.61801,1.08757,0.0009308,0.0009308,0.0009308
29,40.0071,1.18662,0.68624,0.94707,0.99779,1,0.995,0.59918,1.33086,0.58476,1.04969,0.0008912,0.0008912,0.0008912
30,41.3303,1.2087,0.69216,0.92691,0.99728,1,0.995,0.51369,1.62724,0.65069,1.10654,0.0008516,0.0008516,0.0008516
31,42.7017,1.22843,0.7056,0.95665,0.99833,1,0.995,0.64408,1.28816,0.5917,1.02868,0.000812,0.000812,0.000812
32,44.0613,1.20542,0.67704,0.96354,0.98353,1,0.995,0.55848,1.4325,0.59189,1.07257,0.0007724,0.0007724,0.0007724
33,45.408,1.17838,0.67977,0.95336,0.99813,1,0.995,0.61015,1.30192,0.54545,1.02682,0.0007328,0.0007328,0.0007328
34,46.7352,1.14338,0.64189,0.95342,0.99859,1,0.995,0.62052,1.31109,0.55083,1.04335,0.0006932,0.0006932,0.0006932
35,48.0788,1.15031,0.64792,0.9377,0.99856,1,0.995,0.58163,1.42075,0.59168,1.04198,0.0006536,0.0006536,0.0006536
36,49.457,1.16985,0.64331,0.94804,0.99856,1,0.995,0.62132,1.29425,0.53965,1.03194,0.000614,0.000614,0.000614
37,50.7862,1.11649,0.61197,0.92761,1,0.99948,0.995,0.56708,1.48081,0.5811,1.09613,0.0005744,0.0005744,0.0005744
38,52.125,1.10843,0.61811,0.90572,0.99947,1,0.995,0.6102,1.34891,0.55683,1.03877,0.0005348,0.0005348,0.0005348
39,53.4913,1.07797,0.58777,0.91551,1,0.99973,0.995,0.58284,1.4071,0.55656,1.08245,0.0004952,0.0004952,0.0004952
40,54.814,1.09819,0.60509,0.92644,0.99887,1,0.995,0.62166,1.3274,0.5439,1.05525,0.0004556,0.0004556,0.0004556
41,56.512,1.06949,0.65006,0.93632,0.99909,1,0.995,0.5634,1.42967,0.58231,1.07631,0.000416,0.000416,0.000416
42,57.8577,1.08164,0.62944,0.92875,0.99868,1,0.995,0.5994,1.37035,0.55479,1.07203,0.0003764,0.0003764,0.0003764
43,59.1708,1.01469,0.5985,0.92329,0.9985,1,0.995,0.54306,1.49166,0.60372,1.10559,0.0003368,0.0003368,0.0003368
44,60.5029,1.06692,0.59883,0.91282,0.99832,1,0.995,0.61442,1.35361,0.57314,1.05031,0.0002972,0.0002972,0.0002972
45,61.8359,1.03964,0.60321,0.90701,0.99836,1,0.995,0.5935,1.40852,0.57809,1.06617,0.0002576,0.0002576,0.0002576
46,63.163,1.05902,0.60558,0.92292,0.99873,1,0.995,0.56545,1.51839,0.58099,1.10913,0.000218,0.000218,0.000218
47,64.4756,1.00625,0.55412,0.93923,0.99876,1,0.995,0.59637,1.40493,0.54119,1.0649,0.0001784,0.0001784,0.0001784
48,65.79,0.9803,0.55795,0.92501,0.99894,1,0.995,0.59199,1.41159,0.54922,1.05755,0.0001388,0.0001388,0.0001388
