epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32819,2.40015,9.62806,0.71226,3.67496,1.58714,0.92335,0.96862,0.98323,0.60508,0,0,0,0,1.39242,9.27721,0.64034,1.31838,1.09853,0.000653333,0.000653333,0.000653333
2,10.7855,1.44113,7.00102,0.64496,0.84724,1.06638,0.96468,0.98492,0.98793,0.67904,0.32012,0.33166,0.13587,0.02129,1.09298,5.33877,0.55137,0.70188,0.99386,0.00129386,0.00129386,0.00129386
3,15.2638,1.28152,5.3855,0.50369,0.77239,1.02237,0.982,0.98492,0.99315,0.64242,0.62529,0.62312,0.43121,0.08742,1.22312,4.45938,0.3596,1.37646,0.97703,0.00190799,0.00190799,0.00190799
4,19.7276,1.20708,4.16499,0.35828,0.72514,0.9945,0.98739,0.98492,0.9941,0.67402,0.37796,0.37688,0.198,0.03241,1.09436,4.24204,0.19069,0.69033,0.986,0.0018812,0.0018812,0.0018812
5,24.2067,1.1149,3.38583,0.28325,0.66018,0.95225,0.99497,0.99399,0.99495,0.7569,0.82434,0.81407,0.71421,0.26406,0.90351,3.03533,0.12684,0.59611,0.90418,0.0018416,0.0018416,0.0018416
6,28.7033,1.0053,3.02015,0.25734,0.6227,0.94054,0.99915,0.98995,0.99485,0.76971,0.8366,0.82915,0.72548,0.40326,0.83896,2.28401,0.10085,0.54756,0.89339,0.001802,0.001802,0.001802
7,33.1778,1.02295,2.63474,0.23855,0.61463,0.939,0.995,0.99952,0.99495,0.80301,0.84439,0.84925,0.79871,0.45551,0.79705,2.07856,0.07428,0.52936,0.88013,0.0017624,0.0017624,0.0017624
8,37.6417,0.97176,2.48958,0.21926,0.56604,0.92434,0.99928,1,0.995,0.81333,0.85339,0.85427,0.80846,0.49007,0.78076,1.89001,0.05603,0.48718,0.87895,0.0017228,0.0017228,0.0017228
9,42.142,0.90295,2.35262,0.19109,0.53134,0.91292,0.99814,1,0.995,0.6676,0.84791,0.84925,0.794,0.44305,1.14836,1.98317,0.04655,0.61563,0.94212,0.0016832,0.0016832,0.0016832
10,46.5929,0.95359,2.16759,0.20726,0.54237,0.92727,0.99953,1,0.995,0.75627,0.90911,0.90955,0.88021,0.53963,0.86008,1.86363,0.0443,0.5035,0.89115,0.0016436,0.0016436,0.0016436
11,51.1131,0.90507,1.99532,0.22491,0.5333,0.89693,0.99496,1,0.995,0.81267,0.91492,0.9196,0.89602,0.58738,0.74098,1.48049,0.04408,0.47336,0.86952,0.001604,0.001604,0.001604
12,55.6086,0.92472,1.78615,0.20586,0.54567,0.90144,0.99958,1,0.995,0.8234,0.94432,0.94472,0.93138,0.63446,0.78543,1.45091,0.04494,0.49092,0.88349,0.0015644,0.0015644,0.0015644
13,60.09,0.86487,1.6274,0.20525,0.50884,0.8974,0.99963,1,0.995,0.82527,0.93431,0.93467,0.89927,0.57442,0.74675,1.52695,0.04228,0.45854,0.86637,0.0015248,0.0015248,0.0015248
14,64.566,0.85583,1.52588,0.19274,0.49387,0.89451,0.99961,1,0.995,0.82314,0.95943,0.9598,0.93128,0.644,0.71593,1.24672,0.03839,0.43846,0.85891,0.0014852,0.0014852,0.0014852
15,69.0533,0.81262,1.45588,0.17599,0.47148,0.87625,0.99991,1,0.995,0.82092,0.95463,0.95477,0.95837,0.73534,0.74389,1.13733,0.03762,0.44109,0.85854,0.0014456,0.0014456,0.0014456
16,73.5563,0.84893,1.3936,0.19764,0.48854,0.89508,0.99724,1,0.995,0.80606,0.95214,0.95477,0.93026,0.67366,0.74683,1.17995,0.03629,0.43529,0.85935,0.001406,0.001406,0.001406
17,78.0812,0.83396,1.31518,0.19817,0.47015,0.87989,0.99988,1,0.995,0.82775,0.95966,0.9598,0.9515,0.70549,0.71472,1.2208,0.03751,0.43342,0.8441,0.0013664,0.0013664,0.0013664
18,82.5887,0.81852,1.38425,0.20641,0.46113,0.89042,0.99831,1,0.995,0.83316,0.97819,0.9799,0.96868,0.70295,0.71361,1.09183,0.03522,0.41362,0.86214,0.0013268,0.0013268,0.0013268
19,87.1107,0.77545,1.20715,0.19612,0.44209,0.87548,0.99867,1,0.995,0.84364,0.97857,0.9799,0.97898,0.75639,0.71927,0.96867,0.03496,0.41076,0.84798,0.0012872,0.0012872,0.0012872
20,91.6428,0.79977,1.24147,0.20445,0.44675,0.87473,0.99951,1,0.995,0.82291,0.95933,0.9598,0.947,0.66672,0.70989,1.13767,0.03951,0.44656,0.85789,0.0012476,0.0012476,0.0012476
21,96.1744,0.77238,1.28507,0.1867,0.43682,0.87442,0.99781,1,0.995,0.83532,0.96267,0.96482,0.94729,0.6975,0.66751,1.0421,0.0358,0.38758,0.84546,0.001208,0.001208,0.001208
22,100.721,0.77934,1.34537,0.19866,0.45049,0.87978,0.99962,1,0.995,0.84404,0.97953,0.9799,0.97258,0.67104,0.66004,1.0508,0.03728,0.40319,0.84557,0.0011684,0.0011684,0.0011684
23,105.235,0.7357,1.11086,0.21158,0.4346,0.8665,0.99971,1,0.995,0.86078,0.95951,0.9598,0.94469,0.75088,0.6344,1.00228,0.04057,0.37549,0.83771,0.0011288,0.0011288,0.0011288
24,109.772,0.74096,1.06011,0.22237,0.41857,0.86347,0.99967,1,0.995,0.8426,0.9645,0.96482,0.9463,0.73428,0.68064,1.05772,0.04149,0.3839,0.84514,0.0010892,0.0010892,0.0010892
25,114.296,0.73437,1.06096,0.17461,0.41658,0.86368,0.99974,1,0.995,0.8239,0.96457,0.96482,0.9546,0.70657,0.69757,1.01541,0.0426,0.38609,0.84384,0.0010496,0.0010496,0.0010496
26,118.793,0.73887,1.05234,0.19632,0.40982,0.86408,0.9992,1,0.995,0.84304,0.96907,0.96985,0.95752,0.75713,0.65875,0.93952,0.03892,0.40268,0.84307,0.00101,0.00101,0.00101
27,123.29,0.72156,1.11157,0.20145,0.41754,0.86402,0.99966,1,0.995,0.861,0.98961,0.98995,0.98843,0.76991,0.6276,0.85921,0.0401,0.3785,0.83106,0.0009704,0.0009704,0.0009704
28,127.847,0.70394,1.00131,0.18255,0.40655,0.85481,0.99954,1,0.995,0.85154,0.97945,0.9799,0.96511,0.75542,0.64768,0.87838,0.03692,0.38074,0.84131,0.0009308,0.0009308,0.0009308
29,132.349,0.7023,0.98874,0.18996,0.40047,0.85933,1,0.99857,0.995,0.86663,0.9869,0.98492,0.98958,0.81589,0.64442,0.87313,0.03851,0.36841,0.83037,0.0008912,0.0008912,0.0008912
